,Naive Retriever,BM25 Retriever,Compression Retriever,Multi-Query Retriever,Parent Retriever,Ensemble Retriever,Semantic Chunk Retriever
context_precision,0.7406635802392396,0.6458333333072916,0.749999999975,0.7131184291833644,0.7499999999729167,0.7103553524382048,0.6393632684474638
context_recall,1.0,0.875,0.7916666666666666,1.0,0.875,1.0,1.0
context_entity_recall,0.10795454533509813,0.10795454533509813,0.17499999976979166,0.12670454527416064,0.26401515099726525,0.1806818179417097,0.19583333287743054
faithfulness,0.8698717948717949,0.8991477272727273,0.8065476190476191,0.6979166666666666,0.9444444444444444,0.9821428571428572,0.8680555555555556
factual_correctness(mode=f1),0.275,0.42000000000000004,0.3175,0.37,0.3675,0.415,0.3225
answer_relevancy,0.9309481480681421,0.7236348680940756,0.7200653872885581,0.7205784734437513,0.9167396400856157,0.7223501442385459,0.7061433632676456
